ID,Intake Date,Intake Reason,Shelter Code,Animal Name,Breed,Species,Age,Gender,Movement Date,Type of Movement,Return Date,Return Reason,Adoption Month
10005,19-01-2023,Abandoned,S005,Luna,Domestic Long Hair,Cat,2 years 3 months,Female,,Foster,20-02-2023,Allergies to pets,
10006,20-01-2023,Injured Wildlife,S006,Ollie,Opossum,Tortoise,1 year 1 month,Male,,Transfer,,,
10007,21-01-2023,Stray,S007,Unnamed,Pitbull,Dog,6 years 4 months,Female,27-01-2023,Adoption,,,January
10008,22-01-2023,Abandoned,S008,Rocky,Beagle,Dog,3 years 9 months,Male,29-01-2023,Adoption,05-03-2023,Moved to a no-pets apartment,January
10009,23-01-2023,Moving,S009,Bella,Domestic Short Hair,Cat,2 years 6 months,Female,01-02-2023,Adoption,15-03-2023,New baby in the family,February
10010,24-01-2023,Incompatible with owner lifestyle,S010,Leo,Rottweiler,Dog,4 years 1 month,Male,,Foster,10-03-2023,Behavioral issues,
10011,01-02-2023,Stray,S011,Unnamed,American Shorthair,Cat,5 years 0 months,Male,05-02-2023,Adoption,,,February
10012,02-02-2023,Abandoned,S012,Binky,Holland Lop,Rabbit,1 year 2 months,Female,10-02-2023,Adoption,,,February
10013,03-02-2023,Found injured,S013,Snowball,Dwarf Hamster,Hamster,6 months 0 days,Male,07-02-2023,Adoption,,,February
10014,04-02-2023,Stray,S014,Unnamed,Burmese,Cat,3 years 4 months,Female,10-02-2023,Adoption,15-03-2023,Unable to integrate with pets,February
10015,05-02-2023,Owner passed away,S015,Charlie,Golden Retriever,Dog,7 years 5 months,Male,12-02-2023,Adoption,,,February
10016,06-02-2023,Stray,S016,Unnamed,Persian,Cat,2 years 0 months,Female,,Foster,28-02-2023,Found a friend to adopt,
10017,07-02-2023,Moving,S017,Max,Chihuahua,Dog,6 years 2 months,Male,15-02-2023,Adoption,12-05-2023,Behavioral issues,February
10018,08-02-2023,Abandoned,S018,Ginger,Domestic Short Hair,Cat,4 years 3 months,Female,20-02-2023,Adoption,18-06-2023,Allergies in the household,February
10019,09-02-2023,Stray,S019,Unnamed,Border Collie,Dog,3 years 0 months,Male,25-02-2023,Adoption,15-07-2023,Too energetic for family,February
10020,10-02-2023,Owner passed away,S020,Simba,Bengal,Cat,5 years 6 months,Male,27-02-2023,Adoption,,,February
10021,11-02-2023,Incompatible with other pets,S021,Coco,Poodle,Dog,2 years 7 months,Female,01-03-2023,Adoption,,,March
10022,12-02-2023,Moving,S022,Buster,Bulldog,Dog,3 years 5 months,Male,05-03-2023,Adoption,,,March
10023,13-02-2023,Found abandoned,S023,Lola,Domestic Long Hair,Cat,1 year 8 months,Female,07-03-2023,Adoption,,,March
10024,14-02-2023,Stray,S024,Unnamed,Siamese,Cat,2 years 2 months,Female,10-03-2023,Adoption,,,March
10025,15-02-2023,Abandoned,S025,Ruby,Jack Russell Terrier,Dog,4 years 0 months,Female,12-03-2023,Adoption,20-08-2023,Too vocal,
10026,16-02-2023,Stray,S026,Unnamed,American Shorthair,Cat,3 years 3 months,Male,15-03-2023,Adoption,30-05-2023,Behavioral issues,
10027,17-02-2023,Incompatible with owner lifestyle,S027,Milo,Golden Retriever,Dog,5 years 1 month,Male,17-03-2023,Adoption,25-09-2023,Owner had a baby,
10028,18-02-2023,Moving,S028,Daisy,Dachshund,Dog,2 years 6 months,Female,20-03-2023,Adoption,02-11-2023,Did not bond with new family,
10029,19-02-2023,Stray,S029,Unnamed,Beagle,Dog,4 years 4 months,Male,22-03-2023,Adoption,15-06-2023,Escape artist,March
10030,20-02-2023,Abandoned,S030,Peanut,Domestic Short Hair,Cat,1 year 4 months,Male,25-03-2023,Adoption,,,March
10031,21-02-2023,Stray,S031,Unnamed,Poodle,Dog,6 years 1 month,Female,27-03-2023,Adoption,22-09-2023,Aggression issues,March
10032,22-02-2023,Incompatible with other pets,S032,Bella,Siamese,Cat,3 years 0 months,Female,30-03-2023,Adoption,,,
10033,23-02-2023,Found injured,S033,Rex,Bulldog,Dog,2 years 3 months,Male,01-04-2023,Adoption,,,April
10034,24-02-2023,Owner passed away,S034,Nala,Domestic Long Hair,Cat,5 years 7 months,Female,03-04-2023,Adoption,,,April
10035,25-02-2023,Moving,S035,Simba,Siamese,Cat,3 years 2 months,Male,05-04-2023,Adoption,28-07-2023,Housing restrictions,April
10036,26-02-2023,Abandoned,S036,Max,German Shepherd,Dog,2 years 5 months,Male,07-04-2023,Adoption,05-09-2023,High energy,April
10037,27-02-2023,Stray,S037,Unnamed,Beagle,Dog,4 years 0 months,Female,10-04-2023,Adoption,,,
10038,28-02-2023,Found abandoned,S038,Buddy,Bulldog,Dog,6 years 4 months,Male,12-04-2023,Adoption,15-08-2023,Not suitable for apartment life,April
10039,01-03-2023,Moving,S039,Luna,Golden Retriever,Dog,1 year 8 months,Female,15-04-2023,Adoption,08-09-2023,Family moving overseas,April
10040,02-03-2023,Abandoned,S040,Kitty,Domestic Long Hair,Cat,4 years 6 months,Female,17-04-2023,Adoption,,,
10041,03-03-2023,Stray,S041,Unnamed,Labrador Retriever,Dog,5 years 3 months,Male,20-04-2023,Adoption,,,
10042,04-03-2023,Owner passed away,S042,Bella,Domestic Short Hair,Cat,2 years 2 months,Female,22-04-2023,Adoption,,,
